I
about
again
all
are
ask
asked
ball
be
because
brother
call
called
come
could
cry
do
does
eight
father
five
four
go
goes
he
her
here
into
like
liked
look
looked
me
Miss
mother
Mr.
Mrs.
my
nine
no
of
off
one
our
out
people
said
seven
she
shoes
should
sister
six
sky
small
so
some
ten
the
their
there
they
three
to
to
too
try
two
was
we
were
what
when
where
which
who
why
would
you
your
